date,bitcoin
2020-01-01,60
2020-01-02,68
2020-01-03,78
2020-01-04,68
2020-01-05,69
2020-01-06,80
2020-01-07,94
2020-01-08,100
2020-01-09,80
2020-01-10,78
2020-01-11,73
2020-01-12,65
2020-01-13,71
2020-01-14,100
2020-01-15,99
2020-01-16,84
2020-01-17,86
2020-01-18,81
2020-01-19,88
2020-01-20,80
2020-01-21,75
2020-01-22,74
2020-01-23,79
2020-01-24,73
2020-01-25,68
2020-01-26,65
2020-01-27,82
2020-01-28,92
2020-01-29,100
2020-01-30,96
2020-01-31,88
2020-02-01,80
2020-02-02,78
2020-02-03,78
2020-02-04,85
2020-02-05,94
2020-02-06,84
2020-02-07,78
2020-02-08,77
2020-02-09,96
2020-02-10,87
2020-02-11,87
2020-02-12,100
2020-02-13,93
2020-02-14,80
2020-02-15,80
2020-02-16,78
2020-02-17,84
2020-02-18,79
2020-02-19,83
2020-02-20,94
2020-02-21,86
2020-02-22,73
2020-02-23,76
2020-02-24,89
2020-02-25,87
2020-02-26,100
2020-02-27,93
2020-02-28,97
2020-02-29,83
2020-03-01,78
2020-03-02,88
2020-03-03,83
2020-03-04,86
2020-03-05,64
2020-03-06,60
2020-03-07,51
2020-03-08,58
2020-03-09,100
2020-03-10,76
2020-03-11,65
2020-03-12,73
2020-03-13,100
2020-03-14,63
2020-03-15,55
2020-03-16,70
2020-03-17,58
2020-03-18,54
2020-03-19,100
2020-03-20,98
2020-03-21,87
2020-03-22,74
2020-03-23,83
2020-03-24,80
2020-03-25,73
2020-03-26,92
2020-03-27,88
2020-03-28,90
2020-03-29,88
2020-03-30,88
2020-03-31,81
2020-04-01,81
2020-04-02,99
2020-04-03,89
2020-04-04,83
2020-04-05,82
2020-04-06,97
2020-04-07,100
2020-04-08,90
2020-04-09,87
2020-04-10,100
2020-04-11,89
2020-04-12,90
2020-04-13,96
2020-04-14,91
2020-04-15,90
2020-04-16,100
2020-04-17,93
2020-04-18,97
2020-04-19,89
2020-04-20,94
2020-04-21,94
2020-04-22,91
2020-04-23,68
2020-04-24,67
2020-04-25,62
2020-04-26,65
2020-04-27,66
2020-04-28,68
2020-04-29,100
2020-04-30,100
2020-05-01,81
2020-05-02,76
2020-05-03,79
2020-05-04,75
2020-05-05,72
2020-05-06,79
2020-05-07,70
2020-05-08,79
2020-05-09,65
2020-05-10,85
2020-05-11,100
2020-05-12,76
2020-05-13,61
2020-05-14,100
2020-05-15,84
2020-05-16,75
2020-05-17,74
2020-05-18,76
2020-05-19,70
2020-05-20,68
2020-05-21,100
2020-05-22,94
2020-05-23,84
2020-05-24,84
2020-05-25,90
2020-05-26,89
2020-05-27,86
2020-05-28,80
2020-05-29,77
2020-05-30,72
2020-05-31,74
2020-06-01,70
2020-06-02,100
2020-06-03,79
2020-06-04,98
2020-06-05,95
2020-06-06,84
2020-06-07,89
2020-06-08,87
2020-06-09,89
2020-06-10,89
2020-06-11,100
2020-06-12,91
2020-06-13,83
2020-06-14,80
2020-06-15,94
2020-06-16,91
2020-06-17,87
2020-06-18,96
2020-06-19,93
2020-06-20,85
2020-06-21,82
2020-06-22,94
2020-06-23,99
2020-06-24,97
2020-06-25,100
2020-06-26,99
2020-06-27,92
2020-06-28,100
2020-06-29,97
2020-06-30,93
2020-07-01,95
2020-07-02,96
2020-07-03,91
2020-07-04,85
2020-07-05,83
2020-07-06,91
2020-07-07,93
2020-07-08,100
2020-07-09,87
2020-07-10,83
2020-07-11,76
2020-07-12,74
2020-07-13,83
2020-07-14,88
2020-07-15,100
2020-07-16,91
2020-07-17,75
2020-07-18,100
2020-07-19,65
2020-07-20,64
2020-07-21,68
2020-07-22,65
2020-07-23,55
2020-07-24,58
2020-07-25,57
2020-07-26,68
2020-07-27,95
2020-07-28,100
2020-07-29,84
2020-07-30,77
2020-07-31,80
2020-08-01,100
2020-08-02,100
2020-08-03,85
2020-08-04,72
2020-08-05,81
2020-08-06,100
2020-08-07,96
2020-08-08,90
2020-08-09,89
2020-08-10,98
2020-08-11,93
2020-08-12,89
2020-08-13,84
2020-08-14,83
2020-08-15,80
2020-08-16,81
2020-08-17,100
2020-08-18,99
2020-08-19,85
2020-08-20,93
2020-08-21,90
2020-08-22,89
2020-08-23,83
2020-08-24,86
2020-08-25,91
2020-08-26,85
2020-08-27,99
2020-08-28,92
2020-08-29,83
2020-08-30,89
2020-08-31,90
2020-09-01,99
2020-09-02,100
2020-09-03,93
2020-09-04,100
2020-09-05,89
2020-09-06,86
2020-09-07,84
2020-09-08,82
2020-09-09,79
2020-09-10,94
2020-09-11,87
2020-09-12,85
2020-09-13,86
2020-09-14,94
2020-09-15,95
2020-09-16,95
2020-09-17,95
2020-09-18,88
2020-09-19,84
2020-09-20,85
2020-09-21,94
2020-09-22,90
2020-09-23,90
2020-09-24,99
2020-09-25,97
2020-09-26,90
2020-09-27,85
2020-09-28,91
2020-09-29,99
2020-09-30,87
2020-10-01,100
2020-10-02,98
2020-10-03,83
2020-10-04,87
2020-10-05,98
2020-10-06,99
2020-10-07,92
2020-10-08,86
2020-10-09,89
2020-10-10,96
2020-10-11,90
2020-10-12,100
2020-10-13,88
2020-10-14,95
2020-10-15,58
2020-10-16,61
2020-10-17,51
2020-10-18,48
2020-10-19,58
2020-10-20,67
2020-10-21,100
2020-10-22,100
2020-10-23,78
2020-10-24,66
2020-10-25,71
2020-10-26,72
2020-10-27,84
2020-10-28,89
2020-10-29,85
2020-10-30,79
2020-10-31,85
2020-11-01,79
2020-11-02,80
2020-11-03,77
2020-11-04,73
2020-11-05,95
2020-11-06,100
2020-11-07,82
2020-11-08,74
2020-11-09,82
2020-11-10,70
2020-11-11,76
2020-11-12,60
2020-11-13,64
2020-11-14,53
2020-11-15,47
2020-11-16,60
2020-11-17,86
2020-11-18,100
2020-11-19,77
2020-11-20,83
2020-11-21,78
2020-11-22,69
2020-11-23,72
2020-11-24,100
2020-11-25,90
2020-11-26,100
2020-11-27,70
2020-11-28,62
2020-11-29,57
2020-11-30,80
2020-12-01,84
2020-12-02,64
2020-12-03,98
2020-12-04,100
2020-12-05,87
2020-12-06,84
2020-12-07,86
2020-12-08,85
2020-12-09,89
2020-12-10,52
2020-12-11,55
2020-12-12,48
2020-12-13,53
2020-12-14,50
2020-12-15,52
2020-12-16,100
2020-12-17,100
2020-12-18,70
2020-12-19,56
2020-12-20,57
2020-12-21,59
2020-12-22,50
2020-12-23,50
2020-12-24,47
2020-12-25,55
2020-12-26,75
2020-12-27,100
2020-12-28,76
2020-12-29,69
2020-12-30,78
2020-12-31,51
2021-01-01,50
2021-01-02,86
2021-01-03,100
2021-01-04,86
2021-01-05,72
2021-01-06,75
2021-01-07,89
2021-01-08,90
2021-01-09,71
2021-01-10,70
2021-01-11,100
2021-01-12,76
2021-01-13,68
2021-01-14,100
2021-01-15,88
2021-01-16,72
2021-01-17,66
2021-01-18,63
2021-01-19,63
2021-01-20,59
2021-01-21,97
2021-01-22,100
2021-01-23,72
2021-01-24,63
2021-01-25,71
2021-01-26,67
2021-01-27,73
2021-01-28,63
2021-01-29,100
2021-01-30,71
2021-01-31,59
2021-02-01,61
2021-02-02,55
2021-02-03,57
2021-02-04,41
2021-02-05,36
2021-02-06,46
2021-02-07,39
2021-02-08,88
2021-02-09,100
2021-02-10,67
2021-02-11,88
2021-02-12,82
2021-02-13,68
2021-02-14,76
2021-02-15,79
2021-02-16,86
2021-02-17,100
2021-02-18,62
2021-02-19,70
2021-02-20,81
2021-02-21,70
2021-02-22,79
2021-02-23,100
2021-02-24,73
2021-02-25,81
2021-02-26,84
2021-02-27,67
2021-02-28,73
2021-03-01,70
2021-03-02,66
2021-03-03,64
2021-03-04,89
2021-03-05,87
2021-03-06,80
2021-03-07,81
2021-03-08,87
2021-03-09,100
2021-03-10,97
2021-03-11,73
2021-03-12,75
2021-03-13,100
2021-03-14,95
2021-03-15,79
2021-03-16,80
2021-03-17,74
2021-03-18,99
2021-03-19,90
2021-03-20,87
2021-03-21,85
2021-03-22,89
2021-03-23,91
2021-03-24,100
2021-03-25,100
2021-03-26,82
2021-03-27,75
2021-03-28,73
2021-03-29,84
2021-03-30,86
2021-03-31,86
2021-04-01,100
2021-04-02,91
2021-04-03,84
2021-04-04,82
2021-04-05,85
2021-04-06,82
2021-04-07,82
2021-04-08,63
2021-04-09,60
2021-04-10,68
2021-04-11,66
2021-04-12,69
2021-04-13,91
2021-04-14,100
2021-04-15,63
2021-04-16,68
2021-04-17,56
2021-04-18,100
2021-04-19,81
2021-04-20,70
2021-04-21,57
2021-04-22,65
2021-04-23,100
2021-04-24,69
2021-04-25,64
2021-04-26,64
2021-04-27,63
2021-04-28,53
2021-04-29,93
2021-04-30,96
2021-05-01,90
2021-05-02,84
2021-05-03,96
2021-05-04,98
2021-05-05,96
2021-05-06,100
2021-05-07,88
2021-05-08,90
2021-05-09,98
2021-05-10,99
2021-05-11,93
2021-05-12,95
2021-05-13,66
2021-05-14,42
2021-05-15,32
2021-05-16,36
2021-05-17,51
2021-05-18,39
2021-05-19,100
2021-05-20,78
2021-05-21,56
2021-05-22,50
2021-05-23,59
2021-05-24,55
2021-05-25,46
2021-05-26,38
2021-05-27,91
2021-05-28,90
2021-05-29,95
2021-05-30,91
2021-05-31,82
2021-06-01,82
2021-06-02,75
2021-06-03,70
2021-06-04,78
2021-06-05,67
2021-06-06,71
2021-06-07,70
2021-06-08,100
2021-06-09,84
2021-06-10,91
2021-06-11,77
2021-06-12,67
2021-06-13,68
2021-06-14,87
2021-06-15,75
2021-06-16,66
2021-06-17,52
2021-06-18,51
2021-06-19,48
2021-06-20,54
2021-06-21,77
2021-06-22,100
2021-06-23,73
2021-06-24,82
2021-06-25,84
2021-06-26,75
2021-06-27,76
2021-06-28,78
2021-06-29,75
2021-06-30,68
2021-07-01,93
2021-07-02,92
2021-07-03,85
2021-07-04,94
2021-07-05,92
2021-07-06,85
2021-07-07,80
2021-07-08,100
2021-07-09,95
2021-07-10,84
2021-07-11,81
2021-07-12,90
2021-07-13,90
2021-07-14,93
2021-07-15,74
2021-07-16,74
2021-07-17,67
2021-07-18,66
2021-07-19,78
2021-07-20,100
2021-07-21,92
2021-07-22,66
2021-07-23,57
2021-07-24,57
2021-07-25,56
2021-07-26,100
2021-07-27,77
2021-07-28,71
2021-07-29,87
2021-07-30,87
2021-07-31,87
2021-08-01,82
2021-08-02,84
2021-08-03,79
2021-08-04,77
2021-08-05,74
2021-08-06,86
2021-08-07,92
2021-08-08,92
2021-08-09,100
2021-08-10,98
2021-08-11,98
2021-08-12,96
2021-08-13,88
2021-08-14,89
2021-08-15,84
2021-08-16,88
2021-08-17,82
2021-08-18,85
2021-08-19,72
2021-08-20,83
2021-08-21,79
2021-08-22,74
2021-08-23,100
2021-08-24,88
2021-08-25,80
2021-08-26,94
2021-08-27,90
2021-08-28,84
2021-08-29,76
2021-08-30,87
2021-08-31,83
2021-09-01,89
2021-09-02,57
2021-09-03,57
2021-09-04,51
2021-09-05,53
2021-09-06,65
2021-09-07,100
2021-09-08,93
2021-09-09,74
2021-09-10,67
2021-09-11,59
2021-09-12,55
2021-09-13,62
2021-09-14,57
2021-09-15,58
2021-09-16,69
2021-09-17,69
2021-09-18,66
2021-09-19,59
2021-09-20,96
2021-09-21,100
2021-09-22,86
2021-09-23,69
2021-09-24,100
2021-09-25,72
2021-09-26,60
2021-09-27,62
2021-09-28,61
2021-09-29,62
2021-09-30,62
2021-10-01,78
2021-10-02,67
2021-10-03,62
2021-10-04,71
2021-10-05,77
2021-10-06,100
2021-10-07,89
2021-10-08,76
2021-10-09,72
2021-10-10,69
2021-10-11,85
2021-10-12,85
2021-10-13,75
2021-10-14,55
2021-10-15,79
2021-10-16,69
2021-10-17,59
2021-10-18,67
2021-10-19,78
2021-10-20,100
2021-10-21,91
2021-10-22,79
2021-10-23,58
2021-10-24,53
2021-10-25,61
2021-10-26,66
2021-10-27,70
2021-10-28,88
2021-10-29,84
2021-10-30,71
2021-10-31,68
2021-11-01,76
2021-11-02,81
2021-11-03,75
2021-11-04,70
2021-11-05,68
2021-11-06,60
2021-11-07,61
2021-11-08,89
2021-11-09,100
2021-11-10,93
2021-11-11,82
2021-11-12,77
2021-11-13,70
2021-11-14,70
2021-11-15,73
2021-11-16,100
2021-11-17,86
2021-11-18,100
2021-11-19,99
2021-11-20,82
2021-11-21,77
2021-11-22,88
2021-11-23,94
2021-11-24,99
2021-11-25,80
2021-11-26,100
2021-11-27,82
2021-11-28,76
2021-11-29,82
2021-11-30,86
2021-12-01,78
2021-12-02,41
2021-12-03,46
2021-12-04,100
2021-12-05,74
2021-12-06,67
2021-12-07,58
2021-12-08,52
2021-12-09,86
2021-12-10,84
2021-12-11,78
2021-12-12,73
2021-12-13,88
2021-12-14,100
2021-12-15,90
2021-12-16,91
2021-12-17,87
2021-12-18,81
2021-12-19,79
2021-12-20,89
2021-12-21,87
2021-12-22,83
2021-12-23,92
2021-12-24,96
2021-12-25,88
2021-12-26,85
2021-12-27,88
2021-12-28,100
2021-12-29,96
2021-12-30,40
2021-12-31,38
2022-01-01,38
2022-01-02,39
2022-01-03,41
2022-01-04,100
2022-01-05,36
2022-01-06,82
2022-01-07,100
2022-01-08,90
2022-01-09,79
2022-01-10,84
2022-01-11,79
2022-01-12,73
2022-01-13,100
2022-01-14,37
2022-01-15,43
2022-01-16,72
2022-01-17,38
2022-01-18,40
2022-01-19,38
2022-01-20,20
2022-01-21,39
2022-01-22,52
2022-01-23,37
2022-01-24,100
2022-01-25,32
2022-01-26,31
2022-01-27,96
2022-01-28,92
2022-01-29,85
2022-01-30,78
2022-01-31,81
2022-02-01,89
2022-02-02,80
2022-02-03,84
2022-02-04,90
2022-02-05,93
2022-02-06,75
2022-02-07,100
2022-02-08,89
2022-02-09,89
2022-02-10,75
2022-02-11,89
2022-02-12,78
2022-02-13,76
2022-02-14,83
2022-02-15,86
2022-02-16,79
2022-02-17,88
2022-02-18,89
2022-02-19,77
2022-02-20,87
2022-02-21,96
2022-02-22,100
2022-02-23,85
2022-02-24,100
2022-02-25,73
2022-02-26,53
2022-02-27,53
2022-02-28,68
2022-03-01,69
2022-03-02,63
2022-03-03,90
2022-03-04,85
2022-03-05,77
2022-03-06,73
2022-03-07,87
2022-03-08,81
2022-03-09,92
2022-03-10,87
2022-03-11,86
2022-03-12,76
2022-03-13,73
2022-03-14,83
2022-03-15,74
2022-03-16,82
2022-03-17,93
2022-03-18,92
2022-03-19,85
2022-03-20,86
2022-03-21,90
2022-03-22,95
2022-03-23,89
2022-03-24,81
2022-03-25,82
2022-03-26,72
2022-03-27,80
2022-03-28,100
2022-03-29,87
2022-03-30,84
2022-03-31,95
2022-04-01,88
2022-04-02,82
2022-04-03,83
2022-04-04,87
2022-04-05,84
2022-04-06,100
2022-04-07,85
2022-04-08,84
2022-04-09,77
2022-04-10,76
2022-04-11,100
2022-04-12,95
2022-04-13,88
2022-04-14,96
2022-04-15,92
2022-04-16,78
2022-04-17,77
2022-04-18,95
2022-04-19,92
2022-04-20,83
2022-04-21,90
2022-04-22,89
2022-04-23,82
2022-04-24,81
2022-04-25,100
2022-04-26,100
2022-04-27,95
2022-04-28,100
2022-04-29,93
2022-04-30,92
2022-05-01,93
2022-05-02,97
2022-05-03,94
2022-05-04,95
2022-05-05,48
2022-05-06,51
2022-05-07,41
2022-05-08,50
2022-05-09,86
2022-05-10,84
2022-05-11,100
2022-05-12,100
2022-05-13,77
2022-05-14,55
2022-05-15,49
2022-05-16,50
2022-05-17,45
2022-05-18,44
2022-05-19,100
2022-05-20,88
2022-05-21,79
2022-05-22,76
2022-05-23,83
2022-05-24,83
2022-05-25,76
2022-05-26,95
2022-05-27,100
2022-05-28,84
2022-05-29,77
2022-05-30,97
2022-05-31,96
2022-06-01,85
2022-06-02,93
2022-06-03,94
2022-06-04,80
2022-06-05,81
2022-06-06,94
2022-06-07,100
2022-06-08,97
2022-06-09,29
2022-06-10,29
2022-06-11,29
2022-06-12,38
2022-06-13,100
2022-06-14,95
2022-06-15,92
2022-06-16,79
2022-06-17,69
2022-06-18,100
2022-06-19,98
2022-06-20,78
2022-06-21,66
2022-06-22,60
2022-06-23,88
2022-06-24,82
2022-06-25,72
2022-06-26,66
2022-06-27,75
2022-06-28,73
2022-06-29,75
2022-06-30,100
2022-07-01,93
2022-07-02,80
2022-07-03,78
2022-07-04,82
2022-07-05,84
2022-07-06,76
2022-07-07,100
2022-07-08,100
2022-07-09,76
2022-07-10,79
2022-07-11,96
2022-07-12,95
2022-07-13,96
2022-07-14,91
2022-07-15,79
2022-07-16,75
2022-07-17,72
2022-07-18,94
2022-07-19,94
2022-07-20,100
2022-07-21,100
2022-07-22,82
2022-07-23,68
2022-07-24,63
2022-07-25,74
2022-07-26,75
2022-07-27,71
2022-07-28,100
2022-07-29,98
2022-07-30,87
2022-07-31,87
2022-08-01,95
2022-08-02,91
2022-08-03,91
2022-08-04,97
2022-08-05,93
2022-08-06,81
2022-08-07,79
2022-08-08,100
2022-08-09,96
2022-08-10,96
2022-08-11,100
2022-08-12,91
2022-08-13,83
2022-08-14,89
2022-08-15,93
2022-08-16,90
2022-08-17,90
2022-08-18,74
2022-08-19,100
2022-08-20,78
2022-08-21,76
2022-08-22,83
2022-08-23,77
2022-08-24,72
2022-08-25,83
2022-08-26,87
2022-08-27,90
2022-08-28,84
2022-08-29,100
2022-08-30,96
2022-08-31,89
2022-09-01,86
2022-09-02,81
2022-09-03,71
2022-09-04,73
2022-09-05,81
2022-09-06,86
2022-09-07,100
2022-09-08,85
2022-09-09,91
2022-09-10,82
2022-09-11,75
2022-09-12,87
2022-09-13,93
2022-09-14,93
2022-09-15,85
2022-09-16,83
2022-09-17,69
2022-09-18,69
2022-09-19,100
2022-09-20,88
2022-09-21,92
2022-09-22,96
2022-09-23,88
2022-09-24,80
2022-09-25,76
2022-09-26,90
2022-09-27,93
2022-09-28,87
2022-09-29,97
2022-09-30,97
2022-10-01,78
2022-10-02,79
2022-10-03,91
2022-10-04,91
2022-10-05,91
2022-10-06,96
2022-10-07,94
2022-10-08,86
2022-10-09,83
2022-10-10,94
2022-10-11,93
2022-10-12,92
2022-10-13,100
2022-10-14,91
2022-10-15,79
2022-10-16,74
2022-10-17,84
2022-10-18,88
2022-10-19,84
2022-10-20,89
2022-10-21,91
2022-10-22,78
2022-10-23,75
2022-10-24,88
2022-10-25,94
2022-10-26,100
2022-10-27,96
2022-10-28,94
2022-10-29,81
2022-10-30,83
2022-10-31,94
2022-11-01,85
2022-11-02,92
2022-11-03,38
2022-11-04,39
2022-11-05,36
2022-11-06,34
2022-11-07,38
2022-11-08,60
2022-11-09,100
2022-11-10,100
2022-11-11,80
2022-11-12,75
2022-11-13,70
2022-11-14,80
2022-11-15,64
2022-11-16,64
2022-11-17,93
